FirstName,LastName,Username,Password,Department
Alice,Johnson,ajohnson,P@ssw0rd123!,IT
Bob,Smith,bsmith,P@ssw0rd123!,HR
Carol,Williams,cwilliams,P@ssw0rd123!,Finance
David,Brown,dbrown,P@ssw0rd123!,IT
Emma,Jones,ejones,P@ssw0rd123!,HR
Frank,Garcia,fgarcia,P@ssw0rd123!,Finance
Grace,Martinez,gmartinez,P@ssw0rd123!,Management
Henry,Davis,hdavis,P@ssw0rd123!,IT
Isabella,Rodriguez,irodriguez,P@ssw0rd123!,HR
James,Wilson,jwilson,P@ssw0rd123!,Finance
Karen,Anderson,kanderson,P@ssw0rd123!,IT
Liam,Thomas,lthomas,P@ssw0rd123!,Management
Mia,Jackson,mjackson,P@ssw0rd123!,HR
Noah,White,nwhite,P@ssw0rd123!,Finance
Olivia,Harris,oharris,P@ssw0rd123!,IT
